,Titre,Company,Location,Salary,Summaries
3178,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Actimage,,,"Je suis à la recherche d’un développeur ou développeuse Java-JEE / Angular.
Vous serez monté en compétence sur ces technologies."
3179,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Euro Information,,,"Véritable développeur, vous êtes pugnace et concentré sur la concrétisation de vos actions commerciales.
Assurer la négociation commerciale : Négocier les prix…"
3180,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Smarteo,,,"Vous travaillerez dans des contextes de développement Web internet, intranet et extranet sur les dernières technologies de développement mises à disposition des…"
3181,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),CAPITAL RESSOURCES,,,"Apporter du support aux développeurs métier.
Aider les développeurs à la résolution d’incidents.
Former les développeurs sur les bonnes pratiques et les outils…"
3182,GESTIONNAIRE DE SITES WEB (H/F),Marine Nationale,,,"Le Groupe Crédit Mutuel est leader du marché français dans le domaine de la monétique.
L’équipe Autorisation monétique est spécialisée dans la gestion des flux…"
3183,Développeur JAVA H/F,Euro Information,,,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
3184,ANALYSTE DÉVELOPPEUR MONÉTIQUE (H/F),IT link,,,"Rejoignez un éditeur de logiciel en pleine croissance.
Notre client est un éditeur de logiciels à destination des centres d’appels."
3185,ANALYSTE DÉVELOPPEUR NODE.JS (H/F),Euro Information,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3186,Développeur PHP DRUPAL H/F,Euro Information,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3187,Développeur Java Full Stack F/H,Marine Nationale,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3188,STAGE DE FIN D'ETUDE INGENIEURIE (H/F),IT link,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3189,INFORMATICIENS DEVELOPPEURS,Netty,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3190,Sales Analytics Delivery Lead,Euro Information,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3191,Architecte logiciel F/H (CDI),Icon plc,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3192,ANALYSTE DÉVELOPPEUR SECTEUR LOGISTIQUE (H/F),CITECH,,,"Créatif(ve), force de proposition, vous avez la capacité à travailler en synergie avec l’ensemble des équipes projet et création (directeur artistique,…"
3193,Chef de bureau reporting / business intelligence H/F,Euro Information,,,"Tu veux coder l'immobilier de demain au sein d'une équipe passionnée ?
Tu fermes toutes tes div et réponds aux critères ci-dessous ?
Amour des API et du Cloud."
3194,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Rainbow France,,,"Développeur h/f : 2 ans (Requis).
Echange autour de spécificités techniques et fonctionnelles souhaitées par l’analyste.
Gestion des corrections et évolutions."
3195,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,XPO Logistics,,,L'équipe que vous rejoindrez développe un nouvel outil de gestion de trésorerie prévisionnelle qui sera intégré dans un espace multi service à destination d…
3196,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,UTI Group.EST,,,Votre statut salarié cadre associé à votre rôle de développeur(euse) vous donne les moyens d'exercer en véritable entrepreneur.
3197,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Helfrich,,,"Nous recherchons un Développeur Full Stack pour nos équipes à Strasbourg.
A ce titre, la mission comprend les responsabilités suivantes :"
3198,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Arkea,,,"Le cas échéant, encadrer et soutenir d'autres développeurs.
Pour soutenir le développement de notre société, et en particulier le développement de nouveaux…"
3199,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,,,"Vous travaillerez dans des contextes de développement Web internet, intranet et extranet sur les dernières technologies de développement mises à disposition des…"
3200,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,,,"Assister les développeurs sur les questions des possibilités liés aux CMS.
Au sein de l’équipe Sites Web des Services Distants vous aurez en charge l…"
3201,GESTIONNAIRE DE SITES WEB (H/F),OpenClassrooms,,,Rattaché au domaine monétique partie émission vous serez membre de l’équipe ingénierie atelier EP3C (Euro-Information Personnalisation Chèques Cartes et…
3202,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3203,EXPERT SQL F/H,OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3204,Développeur C# DotNET F/H,OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3205,"développeur Java (Java 8 ou supérieur, Spring, Maven / Freelance",Euro Information,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3206,Développeur C# et .NET H/F,Euro Information,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3207,ANALYSTE DÉVELOPPEUR SALLE DES MARCHES (H/F),IT link,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3208,ANALYSTE DÉVELOPPEUR - COMPTES COURANTS (H/F),Sully Group,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3209,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES H/F,Crédit mutuel,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3210,Développeur Angular2+ et Java SpringBoot / Freelance,Actimage,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3211,Analyste/Développeur Microsoft Dynamics Navision – H/F,Crédit mutuel,,,"Rattaché.e directement au fondateur, vous serez garant.e de la bonne mise en œuvre des projets.
En tant que référent.e technique, vous interviendrez sur le…"
3212,Développeur - Lead developer Python HF F/H,Crédit mutuel,,,"Au sein de cette équipe et en tant qu’analyste développeur, vos missions consisteront à :
Vous disposez d’une première expérience significative en tant qu…"
3213,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,GENWIN.Tech,,,L’arrivée à maturité de solutions informatiques permettant un traitement automatique du langage naturel et un apprentissage par l’exemple a ouvert au Groupe…
3214,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Intuition IT Solutions Ltd.,,,"En tant que Développeur Python expérimenté, vous menez des projets de développement à forte valeur ajoutée qui vous permettront également de monter en…"
3215,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Groupe Divalto,,,"Au sein d'une équipe de passionnés de l'environnement Java, juste en face des devs Microsoft (trolling autorisé), on recherche un/e développeur/se (voir lead…"
3216,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Euro Information,,,"Nous recherchons un Développeur Full Stack pour nos équipes à Strasbourg.
A ce titre, la mission comprend les responsabilités suivantes :"
3217,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,ASTEK,,,"Groupe de sociétés d'assurance spécialisées dans les risques d'entreprises depuis 1926, date de création de notre société mère la Cam BTP, le GROUPE CAMACTE…"
3218,Chef de bureau reporting / business intelligence H/F,Marine Nationale,,,"CM-CIC Marchés regroupe l'ensemble des activités de marchés du groupe bancaire Crédit Mutuel.
L'élaboration et le développement du système d'information sont…"
3219,GESTIONNAIRE DE SITES WEB (H/F),OpenClassrooms,,,"Apporter du support aux développeurs métier.
Aider les développeurs à la résolution d'incidents.
Former les développeurs sur les bonnes pratiques et les outils…"
3220,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),OpenClassrooms,,,"Equipe composé d’un directeur du développement, de développeurs fonciers, de responsables de programmes, d’un responsable technique..."
3221,Développeur C# confirmé (H/F) 3 ans,OpenClassrooms,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3222,ANALYSTE DÉVELOPPEUR SALLE DES MARCHES (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3223,ANALYSTE DÉVELOPPEUR MOBILE PRESSE (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3224,BUSINESS DEVELOPER,OpenClassrooms,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3225,ANALYSTE DÉVELOPPEUR MAINFRAME / WEB (H/F),Marine Nationale,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3226,ANALYSTE DÉVELOPPEUR / CHEF DE PROJET JUNIOR MONÉTIQUE (H/F),Euro Information,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3227,ANALYSTE DÉVELOPPEUR NODE.JS (H/F),Euro Information,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3228,Développeur C# (H/F),IT link,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3229,Sales Representative Pharma,GENWIN.Tech,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3230,Développeur Java (F/H),Crédit mutuel,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3231,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Crédit mutuel,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3232,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Crédit mutuel,,,"Ce pôle est composé de deux personnes : le développeur foncier confirmé et une développeuse foncière.
Forte d’une expérience de 100 ans dans le logement social,…"
3233,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,QUADRA INFORMATIQUE,,,"Au sein du domaine Développement des Couches Techniques du secteur Systèmes & Réseaux vous participerez au développement, à la maintenance et au suivi de…"
3234,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Arkea,,,"Vous rejoindrez l'équipe interne du groupe T&S, chargée du développement des outils internes.
Vous serez amené(e) à développer un intranet sous Django avec une…"
3235,GESTIONNAIRE DE SITES WEB (H/F),HN SERVICES - HN FORMATION - HN RECRUTEMENT - GROU...,,,"Passionné d'informatique, vous êtes développeur à jour sur les dernières technologies et bonnes pratiques dans les mondes Microsoft, web et de manière générale…"
3236,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Crédit mutuel,,,"Pour accompagner notre client, acteur de référence dans le secteur de l'assurance (santé, épargne, prévoyance), nous recrutons un ingénieur d'étude Java J2EE (H…"
3237,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Sirfull Service,,,"Vous occuperez le poste de concepteur développeur décisionnel (h/f), et interviendrez sur tout le processus de développement des applications BI, directement…"
3238,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Helfrich,,,"Vous êtes à la fois développeur et capable d'encadrer des intervenants techniques.
Vous connaissez le métier du développeur et maîtrisez la dialectique de la…"
3239,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,,,"Expert en logiciels de gestion dédiés au Comités d’Entreprises, Helfrich-Farrjop propose une nouvelle solution logicielle pour les Comités d’Entreprises en les…"
3240,Développeur Fullstack Java / Angular (H/F) / Freelance,OpenClassrooms,,,"Une société de développeurs pour les développeurs.
La fierté d'être développeur.
Les Sfeiriens sont fiers d’être développeurs.
En quoi SFEIR est différent ?"
3241,CHEF DE PROJET/DÉVELOPPEUR - INTÉGRATION CONTINUE (H/F),OpenClassrooms,,,"Nous recherchons un développeur Java pour travailler sur le développement de plugins Eclipse.
La mission ne consiste pas à développer en Cobol, mais par contre…"
3242,Analyste/Développeur Microsoft Dynamics Navision – H/F,OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3243,LEAD DÉVELOPPEUR FULL STACK MUSIQUE (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3244,Développeur (H/F),Marine Nationale,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3245,Developpeur web h ou f,Euro Information,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3246,LeadDev,Euro Information,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3247,ANALYSTE DÉVELOPPEUR INFORMATIQUE - OUTILS DE PILOTAGE (H/F),IT link,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3248,Ingénieur Etudes et Développement COBOL (H/F),CITECH,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3249,ANALYSTE - DÉVELOPPEUR - OUTILS DE FACTURATION DE LA TÉLÉPHONIE MOBILE NRJ MOBILE (H/F),Proevolution,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3250,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),HAYS,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3251,Chef de bureau reporting / business intelligence H/F,HN SERVICES - HN FORMATION - HN RECRUTEMENT - GROU...,,,"H/F Consultant en Informatique Décisionnelle.
2 à 5 ans d'expérience ERP ou Business Intelligence.
Pour notre agence de Strasbourg."
3252,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Euro Information,,,"Dans le cadre d’un projet sur la téléphonie Mobile permettant la facturation des clients d’EI Telecoms » (NRJ Mobile, Crédit mutuel Mobile, CIC Mobile,…), nous…"
3253,GESTIONNAIRE DE SITES WEB (H/F),Vazee,,,"Dans le contexte de la création d’une plateforme web sur le thème de la musique, vous rejoindrez une équipe pluridisciplinaire d’une dizaine de personnes…"
3254,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Intuition IT Solutions Ltd.,,,"Vous serez rattaché à l’équipe Produit, composée d’un designer et de développeurs.
Si vous savez aussi parler la langue des développeurs pour bien communiquer…"
3255,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Crédit mutuel,,,L’arrivée à maturité de solutions informatiques permettant un traitement automatique du langage naturel et un apprentissage par l’exemple a ouvert au Groupe…
3256,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,FREELANCE VISION,,,"Euro-Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d’information commun utilisé…"
3257,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Helfrich,,,"Vous participerez à l'analyse et la conception d'applications destinées à nos clients PME/PMI et grandes entreprises.
La connaissance de Oracle serait un plus."
3258,Développeur Angular2+ et Java SpringBoot / Freelance,OpenClassrooms,,,"Communique avec les acteurs du projet (développeur, métier, etc.).
Participe à l’analyse des entrants du niveau de test (spécifications, expressions de besoin,…"
3259,Développeur C#.NET (Middleware),OpenClassrooms,,,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
3260,DEVELOPPEUR FULL STACK (H/F),OpenClassrooms,,,"Genwin.Tech recherche pour un de ses clients Grands Comptes, acteur historique et reconnu de la région, des Analystes Développeurs Mainframe Cobol (H/F)."
3261,Développeur Java H/F,Marine Nationale,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3262,ANALYSTE-DÉVELOPPEUR HOST/WEB (H/F),Euro Information,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3263,OUTILS VISUAL STUDIO - ANALYSTE DÉVELOPPEUR (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3264,Concepteur de test H/F – ALTERNANCE,OpenClassrooms,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3265,Product Manager (H/F) - CDI,OpenClassrooms,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3266,Développeur PL/SQL (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3267,Développeur C# (H/F),Euro Information,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3268,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),HAYS,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3269,Chef de bureau reporting / business intelligence H/F,Crédit mutuel,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3270,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,QUADRA INFORMATIQUE,,,"Dans le cadre du renforcement de nos équipes, nous recherchons un développeur C# expérimenté en CDI pour notre client :
Une expertise métier forte et reconnue."
3271,GESTIONNAIRE DE SITES WEB (H/F),Advisa,,,"Nous souhaitons renforcer notre équipe de développeurs web et mobiles pour les projets à venir.
Agence digitale située à Strasbourg, nous recrutons actuellement…"
3272,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Altran,,,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
3273,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Crédit mutuel,,,", un(e) développeur(se) mobile travaillant avec.
Nous recherchons pour notre client du.
La mission est située au centre de.
Nous venons de souffler notre."
3274,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Sodifrance,,,"Euro-Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d’information commun utilisé…"
3275,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Ergalis,,,"Apporter du support aux développeurs métier.
Aider les développeurs à la résolution d’incidents.
Former les développeurs sur les bonnes pratiques et les outils…"
3276,EXPERT SQL F/H,Euro Information,,,"Des créatifs que l’on compare souvent à des extra-terrestres, de vrais geeks développeurs ou intégrateurs, des magiciens du webmarketing, des calculettes…"
3277,Ingénieur développement C++/QT (F/H),Euro Information,,,"Recueillir et évaluer les besoins des développeurs.
L’arrivée à maturité de solutions informatiques permettant un traitement automatique du langage naturel et…"
3278,Ingénieur Etudes et Développement COBOL (H/F),IT link,,,"Au sein d'une équipe de passionnés de l'environnement Java, juste en face des devs Microsoft (trolling autorisé), on recherche un/e développeur/se (voir lead…"
3279,ANALYSTE DÉVELOPPEUR MONÉTIQUE (H/F),OpenClassrooms,,,"Groupe de sociétés d'assurance spécialisées dans les risques d'entreprises depuis 1926, date de création de notre société mère la Cam BTP, le GROUPE CAMACTE…"
3280,Développeur ERP H/F,Marine Nationale,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3281,N2 DGU CONCEPTEUR DEVELOPPEUR,Euro Information,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3282,Développeur Foncier H/F - Promoteur immobilier en développement,OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3283,ANALYSTE DÉVELOPPEUR INFORMATIQUE - OUTILS DE PILOTAGE (H/F),OpenClassrooms,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3284,Développeur C#.NET (Téléphonie),OpenClassrooms,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3285,Chef de projet Web H/F,OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3286,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),CITECH,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3287,Chef de bureau reporting / business intelligence H/F,Proevolution,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3288,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,CAPITAL RESSOURCES,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3289,GESTIONNAIRE DE SITES WEB (H/F),T&S,,,"À la recherche de votre prochaine opportunité?
Jetez un coup d’œil à cette offre.
Notre client est un grand groupe français du secteur bancaire."
3290,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Euro Information,,,"Des créatifs que l’on compare souvent à des extra-terrestres, de vrais geeks développeurs ou intégrateurs, des magiciens du webmarketing, des calculettes…"
3291,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Modis,,,Votre statut salarié cadre associé à votre rôle de développeur(euse) vous donne les moyens d'exercer en véritable entrepreneur.
3292,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Templeton and Partners Limited,,,"Dans le cadre du renforcement de nos équipes, nous recherchons un développeur C# expérimenté en CDI pour notre client :
Une expertise métier forte et reconnue."
3293,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,IT link,,,"Euro-Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d’information commun utilisé…"
3294,ANALYSTE DÉVELOPPEUR BACK-END-EIT (H/F),Euro Information,,,"Au sein de la branche informatique vous intégrerez une équipe de développeur à taille humaine.
Votre capacité d’écoute et d’ouverture, volonté de progresser aux…"
3295,ANALYSTE DÉVELOPPEUR JAVACARD C#/.NET (H/F),Crédit mutuel,,,"Templeton & Partners recherche pour l’un de ses clients sur Strasbourg Centre :
Un Développeur Java / Springboot (H/F).
Une forte autonomie est demandée."
3296,Développeur Java (F/H),Euro Information,,,"Vous êtes en quête d’un nouveau challenge au sein d’une équipe dynamique ?
Autres que ses tartes flambées et son magnifique marché de Noël, Strasbourg regorge…"
3297,Ingénieur études et développement JAVA (F/H),IT link,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d’information commun utilisé…"
3298,Account Executive H/F,OpenClassrooms,,,"L’objectif est la réalisation d’une maquette d’une solution d’enregistrement, la réalisation d’un dossier technique sur le protocole afin d’alimenter une équipe…"
3299,Ingénieur/technicien développement électronique H/F,Marine Nationale,,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3300,Concepteur / Développeur d'applications web et mobile,Euro Information,,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3301,Ingénieur sécurité Informatique - H/F,OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3302,INGÉNIEUR ARCHITECTURE CLOUD F/H,OpenClassrooms,,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3303,EXPERT SQL F/H,OpenClassrooms,,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
3304,RESPONSABLE D'EQUIPE SOLUTIONS COGNITIVES (H/F),OpenClassrooms,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3305,Chef de bureau reporting / business intelligence H/F,Euro Information,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3306,Développeur logiciel gestion d entreprise big data IA,Ergalis,,,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
3307,Officier commissionné - Data Engineer H/F,HAYS,,,"Vous disposez d'une première expérience significative en tant qu'analyste développeur.
Au sein de cette équipe et en tant qu'analyste développeur, vos missions…"
3308,Chef de bureau reporting / business intelligence H/F,Crédit mutuel,,,"En tant qu'analyste développeur, vos missions seront les suivantes :
Au sein du secteur des Solutions Cognitives, dans un environnement innovant, rejoignez l…"
3309,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Altran,,,"Développement dans une équipe Agile.
Analyse de prod (log, redémarrage de serveur...).
Participation aux instances Scrum (Mêlée/Démo/Rétro)."
3310,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Advisa,,,"Rejoignez un éditeur de logiciels dynamique.
Notre client est un acteur majeur dans l’édition de logiciel en France."
3311,Développeur web full stack H/F,HAYS,,,"L’équipe « Epargne en compte » est impliquée dans un grand nombre de projets d’entreprise et évolutions règlementaires.
Gestion de la base « solde »."
3312,DATA ANALYST INTERNSHIP,Euro Information,,,"En tant que Développeur JavaEE, vous menez des projets de développement à forte valeur ajoutée qui vous permettront également de monter en compétence."
3313,JUNIOR DATA SCIENTIST H/F,T&S,,,"Créatif(ve), force de proposition, vous avez la capacité à travailler en synergie avec l’ensemble des équipes projet et création (directeur artistique,…"
3314,Consultant Data Intelligence H/F (Sophia-Antipolis),Crédit mutuel,,,"Notre client est un éditeur de logiciels à destination des établissements de santé en France et à l’étranger.
Rattaché au directeur technique, vous participez à…"
3315,ALTERNANCE - Data Analyst - Nice - H/F,Euro Information,,,"L'équipe « Epargne logement » est impliquée dans un grand nombre de projets d'entreprise et d'évolutions règlementaires.
Droits à prêts Epargne Logement."
